Date,Search: CRYPTO Story Count
11/1/18,64
10/31/18,42
10/30/18,53
10/29/18,23
10/28/18,3
10/27/18,3
10/26/18,15
10/25/18,29
10/24/18,36
10/23/18,32
10/22/18,18
10/21/18,4
10/20/18,12
10/19/18,22
10/18/18,32
10/17/18,13
10/16/18,16
10/15/18,35
10/14/18,7
10/13/18,5
10/12/18,23
10/11/18,43
10/10/18,33
10/9/18,31
10/8/18,22
10/7/18,5
10/6/18,6
10/5/18,24
10/4/18,29
10/3/18,26
10/2/18,41
10/1/18,19
9/30/18,5
9/29/18,5
9/28/18,25
9/27/18,38
9/26/18,25
9/25/18,52
9/24/18,13
9/23/18,7
9/22/18,9
9/21/18,33
9/20/18,62
9/19/18,49
9/18/18,21
9/17/18,19
9/16/18,14
9/15/18,16
9/14/18,20
9/13/18,20
9/12/18,33
9/11/18,54
9/10/18,51
9/9/18,13
9/8/18,10
9/7/18,39
9/6/18,92
9/5/18,65
9/4/18,26
9/3/18,11
9/2/18,5
9/1/18,9
8/31/18,20
8/30/18,17
8/29/18,17
8/28/18,11
8/27/18,20
8/26/18,6
8/25/18,8
8/24/18,28
8/23/18,24
8/22/18,26
8/21/18,31
8/20/18,34
8/19/18,13
8/18/18,14
8/17/18,35
8/16/18,25
8/15/18,44
8/14/18,82
8/13/18,23
8/12/18,5
8/11/18,9
8/10/18,38
8/9/18,26
8/8/18,50
8/7/18,46
8/6/18,35
8/5/18,9
8/4/18,9
8/3/18,44
8/2/18,33
8/1/18,27
7/31/18,23
7/30/18,34
7/29/18,7
7/28/18,9
7/27/18,35
7/26/18,48
7/25/18,35
7/24/18,59
7/23/18,31
7/22/18,11
7/21/18,10
7/20/18,26
7/19/18,35
7/18/18,74
7/17/18,41
7/16/18,57
7/15/18,12
7/14/18,15
7/13/18,42
7/12/18,30
7/11/18,28
7/10/18,22
7/9/18,13
7/8/18,15
7/7/18,8
7/6/18,28
7/5/18,19
7/4/18,22
7/3/18,25
7/2/18,31
7/1/18,9
6/30/18,15
6/29/18,31
6/28/18,67
6/27/18,50
6/26/18,42
6/25/18,69
6/24/18,22
6/23/18,11
6/22/18,58
6/21/18,37
6/20/18,105
6/19/18,31
6/18/18,85
6/17/18,15
6/16/18,14
6/15/18,21
6/14/18,52
6/13/18,38
6/12/18,42
6/11/18,94
6/10/18,17
6/9/18,9
6/8/18,22
6/7/18,44
6/6/18,49
6/5/18,40
6/4/18,36
6/3/18,20
6/2/18,16
6/1/18,28
5/31/18,34
5/30/18,34
5/29/18,40
5/28/18,10
5/27/18,12
5/26/18,10
5/25/18,36
5/24/18,100
5/23/18,45
5/22/18,50
5/21/18,31
5/20/18,9
5/19/18,10
5/18/18,35
5/17/18,30
5/16/18,60
5/15/18,80
5/14/18,98
5/13/18,19
5/12/18,9
5/11/18,62
5/10/18,42
5/9/18,40
5/8/18,63
5/7/18,51
5/6/18,12
5/5/18,16
5/4/18,38
5/3/18,26
5/2/18,44
5/1/18,36
4/30/18,29
4/29/18,6
4/28/18,7
4/27/18,35
4/26/18,49
4/25/18,58
4/24/18,55
4/23/18,67
4/22/18,12
4/21/18,8
4/20/18,65
4/19/18,48
4/18/18,67
4/17/18,64
4/16/18,32
4/15/18,11
4/14/18,7
4/13/18,59
4/12/18,71
4/11/18,53
4/10/18,67
4/9/18,45
4/8/18,9
4/7/18,19
4/6/18,104
4/5/18,94
4/4/18,48
4/3/18,84
4/2/18,38
4/1/18,40
3/31/18,13
3/30/18,24
3/29/18,71
3/28/18,33
3/27/18,64
3/26/18,72
3/25/18,14
3/24/18,12
3/23/18,69
3/22/18,104
3/21/18,51
3/20/18,97
3/19/18,123
3/18/18,9
3/17/18,12
3/16/18,75
3/15/18,84
3/14/18,122
3/13/18,74
3/12/18,51
3/11/18,9
3/10/18,7
3/9/18,112
3/8/18,158
3/7/18,138
3/6/18,53
3/5/18,58
3/4/18,21
3/3/18,13
3/2/18,102
3/1/18,66
2/28/18,62
2/27/18,111
2/26/18,91
2/25/18,13
2/24/18,9
2/23/18,69
2/22/18,94
2/21/18,103
2/20/18,119
2/19/18,72
2/18/18,19
2/17/18,18
2/16/18,91
2/15/18,140
2/14/18,105
2/13/18,167
2/12/18,74
2/11/18,37
2/10/18,25
2/9/18,130
2/8/18,173
2/7/18,157
2/6/18,241
2/5/18,202
2/4/18,37
2/3/18,30
2/2/18,235
2/1/18,212
1/31/18,191
1/30/18,211
1/29/18,259
1/28/18,56
1/27/18,42
1/26/18,191
1/25/18,213
1/24/18,133
1/23/18,166
1/22/18,143
1/21/18,22
1/20/18,19
1/19/18,101
1/18/18,255
1/17/18,354
1/16/18,268
1/15/18,147
1/14/18,49
1/13/18,45
1/12/18,222
1/11/18,299
1/10/18,179
1/9/18,213
1/8/18,154
1/7/18,24
1/6/18,28
1/5/18,93
1/4/18,128
1/3/18,147
1/2/18,119
1/1/18,19
12/31/17,12
12/30/17,22
12/29/17,111
12/28/17,181
12/27/17,110
12/26/17,131
12/25/17,42
12/24/17,20
12/23/17,31
12/22/17,287
12/21/17,218
12/20/17,218
12/19/17,164
12/18/17,205
12/17/17,38
12/16/17,28
12/15/17,114
12/14/17,159
12/13/17,278
12/12/17,294
12/11/17,357
12/10/17,73
12/9/17,23
12/8/17,169
12/7/17,324
12/6/17,175
12/5/17,77
12/4/17,149
12/3/17,33
12/2/17,18
12/1/17,152
11/30/17,173
11/29/17,315
11/28/17,148
11/27/17,161
11/26/17,15
11/25/17,2
11/24/17,21
11/23/17,22
11/22/17,49
11/21/17,89
11/20/17,66
11/19/17,5
11/18/17,3
11/17/17,51
11/16/17,51
11/15/17,52
11/14/17,50
11/13/17,104
11/12/17,4
11/11/17,0
11/10/17,29
11/9/17,46
11/8/17,51
11/7/17,37
11/6/17,34
11/5/17,16
11/4/17,1
11/3/17,49
11/2/17,77
11/1/17,62
10/31/17,46
10/30/17,20
10/29/17,2
10/28/17,12
10/27/17,22
10/26/17,20
10/25/17,35
10/24/17,39
10/23/17,23
10/22/17,0
10/21/17,5
10/20/17,26
10/19/17,20
10/18/17,29
10/17/17,52
10/16/17,35
10/15/17,15
10/14/17,6
10/13/17,52
10/12/17,71
10/11/17,52
10/10/17,34
10/9/17,8
10/8/17,0
10/7/17,2
10/6/17,27
10/5/17,31
10/4/17,32
10/3/17,39
10/2/17,56
10/1/17,7
9/30/17,6
9/29/17,69
9/28/17,28
9/27/17,40
9/26/17,28
9/25/17,18
9/24/17,3
9/23/17,0
9/22/17,29
9/21/17,21
9/20/17,29
9/19/17,50
9/18/17,51
9/17/17,10
9/16/17,2
9/15/17,134
9/14/17,90
9/13/17,50
9/12/17,67
9/11/17,37
9/10/17,13
9/9/17,2
9/8/17,53
9/7/17,18
9/6/17,21
9/5/17,82
9/4/17,71
9/3/17,2
9/2/17,1
9/1/17,15
8/31/17,31
8/30/17,24
8/29/17,14
8/28/17,20
8/27/17,2
8/26/17,2
8/25/17,8
8/24/17,20
8/23/17,10
8/22/17,22
8/21/17,19
8/20/17,1
8/19/17,5
8/18/17,17
8/17/17,17
8/16/17,22
8/15/17,7
8/14/17,33
8/13/17,4
8/12/17,2
8/11/17,21
8/10/17,22
8/9/17,10
8/8/17,25
8/7/17,13
8/6/17,3
8/5/17,1
8/4/17,5
8/3/17,10
8/2/17,14
8/1/17,27
7/31/17,9
7/30/17,3
7/29/17,0
7/28/17,4
7/27/17,14
7/26/17,28
7/25/17,16
7/24/17,24
7/23/17,4
7/22/17,2
7/21/17,21
7/20/17,31
7/19/17,11
7/18/17,38
7/17/17,34
7/16/17,0
7/15/17,0
7/14/17,12
7/13/17,9
7/12/17,31
7/11/17,44
7/10/17,16
7/9/17,1
7/8/17,0
7/7/17,14
7/6/17,12
7/5/17,17
7/4/17,2
7/3/17,6
7/2/17,0
7/1/17,1
6/30/17,12
6/29/17,8
6/28/17,23
6/27/17,27
6/26/17,19
6/25/17,2
6/24/17,4
6/23/17,0
6/22/17,8
6/21/17,6
6/20/17,20
6/19/17,9
6/18/17,3
6/17/17,0
6/16/17,5
6/15/17,23
6/14/17,9
6/13/17,12
6/12/17,14
6/11/17,3
6/10/17,3
6/9/17,8
6/8/17,24
6/7/17,10
6/6/17,18
6/5/17,14
6/4/17,0
6/3/17,1
6/2/17,8
6/1/17,28
5/31/17,13
5/30/17,7
5/29/17,15
5/28/17,1
5/27/17,0
5/26/17,18
5/25/17,44
5/24/17,14
5/23/17,7
5/22/17,24
5/21/17,0
5/20/17,4
5/19/17,17
5/18/17,10
5/17/17,8
5/16/17,28
5/15/17,50
5/14/17,4
5/13/17,20
5/12/17,36
5/11/17,0
5/10/17,8
5/9/17,5
5/8/17,0
5/7/17,0
5/6/17,0
5/5/17,10
5/4/17,1
5/3/17,3
5/2/17,10
5/1/17,4
4/30/17,5
4/29/17,2
4/28/17,1
4/27/17,5
4/26/17,8
4/25/17,3
4/24/17,4
4/23/17,0
4/22/17,0
4/21/17,2
4/20/17,3
4/19/17,0
4/18/17,3
4/17/17,5
4/16/17,1
4/15/17,0
4/14/17,0
4/13/17,0
4/12/17,7
4/11/17,9
4/10/17,5
4/9/17,0
4/8/17,0
4/7/17,0
4/6/17,4
4/5/17,3
4/4/17,4
4/3/17,5
4/2/17,0
4/1/17,0
3/31/17,2
3/30/17,8
3/29/17,1
3/28/17,8
3/27/17,0
3/26/17,2
3/25/17,0
3/24/17,0
3/23/17,2
3/22/17,3
3/21/17,0
3/20/17,13
3/19/17,0
3/18/17,0
3/17/17,13
3/16/17,5
3/15/17,5
3/14/17,4
3/13/17,23
3/12/17,5
3/11/17,8
3/10/17,31
3/9/17,15
3/8/17,18
3/7/17,8
3/6/17,8
3/5/17,10
3/4/17,1
3/3/17,20
3/2/17,5
3/1/17,2
2/28/17,9
2/27/17,8
2/26/17,0
2/25/17,1
2/24/17,11
2/23/17,15
2/22/17,7
2/21/17,3
2/20/17,0
2/19/17,0
2/18/17,0
2/17/17,1
2/16/17,0
2/15/17,1
2/14/17,0
2/13/17,4
2/12/17,0
2/11/17,0
2/10/17,7
2/9/17,49
2/8/17,25
2/7/17,7
2/6/17,10
2/5/17,0
2/4/17,0
2/3/17,4
2/2/17,8
2/1/17,6
1/31/17,5
1/30/17,7
1/29/17,1
1/28/17,0
1/27/17,1
1/26/17,5
1/25/17,11
1/24/17,4
1/23/17,17
1/22/17,0
1/21/17,0
1/20/17,10
1/19/17,22
1/18/17,22
1/17/17,16
1/16/17,22
1/15/17,1
1/14/17,0
1/13/17,3
1/12/17,8
1/11/17,31
1/10/17,14
1/9/17,32
1/8/17,1
1/7/17,2
1/6/17,39
1/5/17,15
1/4/17,23
1/3/17,9
1/2/17,0
1/1/17,1
12/31/16,0
12/30/16,3
12/29/16,8
12/28/16,2
12/27/16,0
12/26/16,2
12/25/16,4
12/24/16,0
12/23/16,12
12/22/16,12
12/21/16,4
12/20/16,14
12/19/16,0
12/18/16,2
12/17/16,1
12/16/16,8
12/15/16,2
12/14/16,7
12/13/16,12
12/12/16,2
12/11/16,2
12/10/16,0
12/9/16,1
12/8/16,4
12/7/16,12
12/6/16,10
12/5/16,7
12/4/16,1
12/3/16,0
12/2/16,0
12/1/16,6
11/30/16,8
11/29/16,10
11/28/16,13
11/27/16,0
11/26/16,0
11/25/16,3
11/24/16,4
11/23/16,10
11/22/16,5
11/21/16,7
11/20/16,0
11/19/16,2
11/18/16,18
11/17/16,9
11/16/16,31
11/15/16,21
11/14/16,0
11/13/16,0
11/12/16,0
11/11/16,21
11/10/16,3
11/9/16,10
11/8/16,5
11/7/16,5
11/6/16,0
11/5/16,0
11/4/16,3
11/3/16,28
11/2/16,6
11/1/16,5