Date,Search: ETH Story Count
11/1/18,6
10/31/18,3
10/30/18,6
10/29/18,4
10/26/18,4
10/25/18,4
10/24/18,4
10/23/18,3
10/22/18,4
10/19/18,6
10/18/18,8
10/17/18,4
10/16/18,4
10/15/18,4
10/12/18,7
10/11/18,7
10/10/18,4
10/9/18,4
10/5/18,7
10/4/18,4
10/3/18,4
10/2/18,4
10/1/18,4
9/28/18,6
9/27/18,6
9/26/18,4
9/25/18,6
9/24/18,3
9/21/18,7
9/20/18,6
9/19/18,6
9/18/18,7
9/17/18,4
9/14/18,6
9/13/18,4
9/12/18,5
9/11/18,5
9/10/18,12
9/7/18,6
9/6/18,5
9/5/18,11
9/4/18,4
8/31/18,6
8/30/18,7
8/29/18,4
8/28/18,4
8/27/18,6
8/24/18,6
8/23/18,3
8/22/18,5
8/21/18,3
8/20/18,4
8/17/18,7
8/16/18,3
8/15/18,5
8/14/18,6
8/13/18,7
8/10/18,5
8/9/18,4
8/8/18,6
8/7/18,4
8/6/18,3
8/3/18,7
8/2/18,4
8/1/18,3
7/31/18,4
7/30/18,4
7/27/18,6
7/26/18,7
7/25/18,4
7/24/18,5
7/23/18,5
7/20/18,6
7/19/18,4
7/18/18,4
7/17/18,3
7/16/18,4
7/13/18,7
7/12/18,5
7/11/18,4
7/10/18,4
7/9/18,4
7/6/18,5
7/5/18,4
7/3/18,4
7/2/18,7
6/29/18,6
6/28/18,8
6/27/18,6
6/26/18,4
6/25/18,6
6/22/18,7
6/21/18,8
6/20/18,6
6/19/18,5
6/18/18,8
6/15/18,6
6/14/18,17
6/13/18,3
6/12/18,7
6/11/18,4
6/8/18,6
6/7/18,4
6/6/18,4
6/5/18,4
6/4/18,4
6/1/18,7
5/31/18,5
5/30/18,7
5/29/18,5
5/25/18,5
5/24/18,10
5/23/18,6
5/22/18,4
5/21/18,5
5/18/18,7
5/17/18,6
5/16/18,7
5/15/18,9
5/14/18,9
5/11/18,10
5/10/18,5
5/9/18,7
5/8/18,8
5/7/18,6
5/4/18,6
5/3/18,3
5/2/18,6
5/1/18,4
4/30/18,4
4/27/18,7
4/26/18,12
4/25/18,13
4/24/18,5
4/23/18,7
4/20/18,7
4/19/18,3
4/18/18,3
4/17/18,5
4/16/18,4
4/13/18,6
4/12/18,4
4/11/18,4
4/10/18,4
4/9/18,5
4/6/18,5
4/5/18,8
4/4/18,10
4/3/18,4
4/2/18,3
3/29/18,8
3/28/18,5
3/27/18,4
3/26/18,8
3/23/18,3
3/22/18,6
3/21/18,10
3/20/18,4
3/19/18,4
3/16/18,6
3/15/18,5
3/14/18,8
3/13/18,7
3/12/18,4
3/9/18,7
3/8/18,7
3/7/18,5
3/6/18,6
3/5/18,3
3/2/18,7
3/1/18,4
2/28/18,4
2/27/18,5
2/26/18,5
2/23/18,6
2/22/18,5
2/21/18,6
2/20/18,5
2/16/18,7
2/15/18,5
2/14/18,7
2/13/18,7
2/12/18,5
2/9/18,6
2/8/18,6
2/7/18,7
2/6/18,5
2/5/18,6
2/2/18,9
2/1/18,5
1/31/18,4
1/30/18,12
1/29/18,9
1/26/18,7
1/25/18,9
1/24/18,5
1/23/18,7
1/22/18,11
1/19/18,8
1/18/18,10
1/17/18,7
1/16/18,11
1/12/18,10
1/11/18,10
1/10/18,4
1/9/18,6
1/8/18,9
1/5/18,7
1/4/18,5
1/3/18,12
1/2/18,5
12/29/17,10
12/28/17,5
12/27/17,7
12/26/17,14
12/22/17,8
12/21/17,10
12/20/17,10
12/19/17,4
12/18/17,2
12/15/17,6
12/14/17,1
12/13/17,2
12/12/17,12
12/11/17,1
12/8/17,4
12/7/17,1
12/6/17,7
12/5/17,4
12/4/17,4
12/1/17,2
11/30/17,1
11/29/17,2
11/28/17,2
11/27/17,0
11/24/17,3
11/22/17,0
11/21/17,3
11/20/17,1
11/17/17,2
11/16/17,2
11/15/17,0
11/14/17,0
11/13/17,0
11/10/17,2
11/9/17,1
11/8/17,2
11/7/17,4
11/6/17,1
11/3/17,3
11/2/17,0
11/1/17,1
10/31/17,0
10/30/17,0
10/27/17,3
10/26/17,0
10/25/17,0
10/24/17,4
10/23/17,0
10/20/17,3
10/19/17,4
10/18/17,2
10/17/17,1
10/16/17,0
10/13/17,2
10/12/17,0
10/11/17,2
10/10/17,0
10/6/17,2
10/5/17,2
10/4/17,2
10/3/17,0
10/2/17,11
9/29/17,7
9/28/17,1
9/27/17,0
9/26/17,0
9/25/17,0
9/22/17,2
9/21/17,2
9/20/17,0
9/19/17,0
9/18/17,0
9/15/17,1
9/14/17,0
9/13/17,0
9/12/17,0
9/11/17,0
9/8/17,0
9/7/17,0
9/6/17,2
9/5/17,5
9/1/17,2
8/31/17,0
8/30/17,0
8/29/17,0
8/28/17,0
8/25/17,0
8/24/17,6
8/23/17,0
8/22/17,0
8/21/17,2
8/18/17,0
8/17/17,0
8/16/17,0
8/15/17,0
8/14/17,2
8/11/17,1
8/10/17,1
8/9/17,3
8/8/17,0
8/7/17,0
8/4/17,0
8/3/17,0
8/2/17,0
8/1/17,1
7/31/17,0
7/28/17,0
7/27/17,1
7/26/17,0
7/25/17,1
7/24/17,0
7/21/17,2
7/20/17,0
7/19/17,1
7/18/17,6
7/17/17,5
7/14/17,0
7/13/17,1
7/12/17,0
7/11/17,1
7/10/17,3
7/7/17,0
7/6/17,0
7/5/17,2
7/3/17,1
6/30/17,2
6/29/17,0
6/28/17,1
6/27/17,2
6/26/17,4
6/23/17,0
6/22/17,1
6/21/17,2
6/20/17,1
6/19/17,1
6/16/17,0
6/15/17,1
6/14/17,2
6/13/17,1
6/12/17,1
6/9/17,0
6/8/17,0
6/7/17,1
6/6/17,2
6/5/17,0
6/2/17,0
6/1/17,1
5/31/17,2
5/30/17,0
5/26/17,0
5/25/17,0
5/24/17,1
5/23/17,0
5/22/17,2
5/19/17,0
5/18/17,0
5/17/17,0
5/16/17,0
5/15/17,0
5/12/17,0
5/11/17,0
5/10/17,0
5/9/17,0
5/8/17,0
5/5/17,0
5/4/17,1
5/3/17,0
5/2/17,0
5/1/17,0
4/28/17,0
4/27/17,0
4/26/17,0
4/25/17,0
4/24/17,0
4/21/17,0
4/20/17,0
4/19/17,0
4/18/17,0
4/17/17,0
4/13/17,0
4/12/17,0
4/11/17,0
4/10/17,0
4/7/17,0
4/6/17,0
4/5/17,0
4/4/17,0
4/3/17,0
3/31/17,0
3/30/17,0
3/29/17,0
3/28/17,0
3/27/17,0
3/24/17,0
3/23/17,1
3/22/17,1
3/21/17,0
3/20/17,0
3/17/17,0
3/16/17,0
3/15/17,0
3/14/17,0
3/13/17,0
3/10/17,0
3/9/17,1
3/8/17,1
3/7/17,0
3/6/17,0
3/3/17,0
3/2/17,0
3/1/17,1
2/28/17,7
2/27/17,3
2/24/17,0
2/23/17,0
2/22/17,0
2/21/17,0
2/17/17,0
2/16/17,0
2/15/17,0
2/14/17,0
2/13/17,0
2/10/17,0
2/9/17,3
2/8/17,0
2/7/17,0
2/6/17,0
2/3/17,0
2/2/17,0
2/1/17,0
1/31/17,0
1/30/17,0
1/27/17,0
1/26/17,0
1/25/17,0
1/24/17,0
1/23/17,0
1/20/17,0
1/19/17,0
1/18/17,0
1/17/17,0
1/13/17,0
1/12/17,0
1/11/17,0
1/10/17,0
1/9/17,0
1/6/17,0
1/5/17,0
1/4/17,0
1/3/17,0
12/30/16,0
12/29/16,0
12/28/16,0
12/27/16,0
12/23/16,0
12/22/16,0
12/21/16,0
12/20/16,0
12/19/16,0
12/16/16,0
12/15/16,0
12/14/16,0
12/13/16,0
12/12/16,0
12/9/16,0
12/8/16,0
12/7/16,0
12/6/16,0
12/5/16,0
12/2/16,0
12/1/16,0
11/30/16,0
11/29/16,0
11/28/16,0
11/25/16,0
11/23/16,0
11/22/16,0
11/21/16,0
11/18/16,0
11/17/16,0
11/16/16,0
11/15/16,0
11/14/16,0
11/10/16,0
11/9/16,0
11/8/16,0
11/7/16,0
11/4/16,0
11/3/16,0
11/2/16,0
11/1/16,0